series_code,series_name,measure_type,debt_value_usd,value_billions_usd
DT.DOD.DECT.CD,"External debt stocks, total (DOD, current US$)",total_external_debt_stock,8682571533789.5,8682.5715337895
DT.DOD.DLXF.CD,"External debt stocks, long-term (DOD, current US$)",debt_stock,6043850455013.2,6043.8504550132
DT.DOD.VTOT.CD,"External debt stocks, variable rate (DOD, current US$)",debt_stock,3674936445971.1,3674.9364459711
DT.DOD.DPPG.CD,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",debt_stock,3384176889377.0,3384.176889377
DT.DOD.PUBS.CD,"External debt stocks, long-term public sector (DOD, current US$)",debt_stock,3365910842311.0,3365.910842311
DT.DOD.DEPS.CD,"External debt stocks, public sector (PPG) (DOD, current US$)",debt_stock,3364466638311.0,3364.466638311
DT.DOD.PRVS.CD,"External debt stocks, long-term private sector (DOD, current US$)",debt_stock,2677934272759.6,2677.9342727596
DT.DOD.DPNG.CD,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",debt_stock,2659668225691.6,2659.6682256916
DT.DOD.DEGG.CD,"External debt stocks, general government sector (PPG) (DOD, current US$)",debt_stock,2522164796442.5,2522.1647964425
DT.DOD.DSTC.CD,"External debt stocks, short-term (DOD, current US$)",debt_stock,2257871167269.6,2257.8711672696
DT.DOD.PNGC.CD,"PNG, commercial banks and other creditors (DOD, current US$)",other_debt_monetary,2065179408603.3,2065.1794086033
DT.DOD.PBND.CD,"PPG, bonds (DOD, current US$)",other_debt_monetary,1643305393751.7,1643.3053937517
DT.DOD.PBND.PS.CD,"PS, bonds (DOD, current US$)",other_debt_monetary,1626175393751.7,1626.1753937516999
DT.DOD.OFFT.CD,"PPG, official creditors (DOD, current US$)",other_debt_monetary,1335818328471.9,1335.8183284718998
DT.DOD.OFFT.PS.CD,"PS, official creditors (DOD, current US$)",other_debt_monetary,1334593111820.9,1334.5931118208998
DT.TDS.DECT.CD,"Debt service on external debt, total (TDS, current US$)",debt_service,1267444481947.1,1267.4444819471
DT.DOD.PBND.GG.CD,"GG, bonds (DOD, current US$)",other_debt_monetary,1254578395832.7,1254.5783958327
DT.DOD.OFFT.GG.CD,"GG, official creditors (DOD, current US$)",other_debt_monetary,1175577390343.1,1175.5773903431002
DT.TDS.DLXF.CD,"Debt service on external debt, long-term (TDS, current US$)",debt_service,1147509284808.7,1147.5092848087
DT.DOD.VPPG.CD,"External debt stocks, variable rate public and publicly guaranteed debt (PPG) (DOD, current US$)",debt_stock,1015267794184.6,1015.2677941846
DT.DIS.DLTF.CD,"Disbursements on external debt, long-term + IMF (DIS, current US$)",disbursement,994906611554.2,994.9066115541999
DT.AMT.DLTF.CD,"Principal repayments on external debt, long-term + IMF (AMT, current US$)",principal_repayment,971302092423.2999,971.3020924232999
DT.DIS.DLXF.CD,"Disbursements on external debt, long-term (DIS, current US$)",disbursement,958945583880.9,958.9455838809
DT.AMT.DLXF.CD,"Principal repayments on external debt, long-term (AMT, current US$)",principal_repayment,948494907635.2,948.4949076352
DT.DOD.DOPS.CD,"External debt stocks, other public sector (PPG) (DOD, current US$)",debt_stock,795587801629.4,795.5878016294
DT.TDS.DPNG.CD,"Debt service on external debt, private nonguaranteed (PNG) (TDS, current US$)",debt_service,746425830222.6,746.4258302226
DT.AMT.DPNG.CD,"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)",principal_repayment,655717624030.2,655.7176240302
DT.UND.DPPG.CD,"Undisbursed external debt, total (UND, current US$)",other_debt_monetary,654647422042.6,654.6474220425999
DT.DIS.DPNG.CD,"Disbursements on external debt, private nonguaranteed (PNG) (DIS, current US$)",disbursement,603584537244.6,603.5845372446
DT.DOD.PNGB.CD,"PNG, bonds (DOD, current US$)",other_debt_monetary,594488818929.1,594.4888189290999
DT.TDS.PNGC.CD,"PNG, commercial banks and other creditors (TDS, current US$)",other_debt_monetary,593228586132.2,593.2285861322
DT.DIS.PNGC.CD,"PNG, commercial banks and other creditors (DIS, current US$)",other_debt_monetary,541827193830.4,541.8271938304
DT.AMT.PNGC.CD,"PNG, commercial banks and other creditors (AMT, current US$)",other_debt_monetary,538924346265.2,538.9243462652
DT.UND.OFFT.CD,"Undisbursed external debt, official creditors (UND, current US$)",other_debt_monetary,537342314095.7,537.3423140957
DT.COM.DPPG.CD,"Commitments, public and publicly guaranteed (COM, current US$)",commitment,412791898716.7,412.7918987167
DT.TDS.DPPG.CD,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",debt_service,401084009536.8,401.0840095368
DT.TDS.DEPS.CD,"Debt service on external debt, public sector (PPG) (TDS, current US$)",debt_service,400136094606.5,400.1360946065
DT.DOD.DIMF.CD,"Use of IMF credit and SDR allocations (DOD, current US$)",imf_credit,380855178620.2,380.85517862020004
DT.DOD.PBND.OPS.CD,"OPS, bonds (DOD, current US$)",other_debt_monetary,371133360146.0,371.133360146
DT.DOD.ALLC.CD,"External debt stocks, concessional (DOD, current US$)",debt_stock,367249354520.9,367.2493545209
DT.DIS.DPPG.CD,"Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current US$)",disbursement,355361093479.8,355.3610934798
DT.DIS.DEPS.CD,"Disbursements on external debt, public sector (PPG) (DIS, current US$)",disbursement,354986947173.0,354.986947173
DT.DOD.PCBK.CD,"PPG, commercial banks (DOD, current US$)",other_debt_monetary,314376747706.2,314.37674770620004
DT.DOD.PCBK.PS.CD,"PS, commercial banks (DOD, current US$)",other_debt_monetary,313021938757.2,313.0219387572
DT.INT.DECT.CD,"Interest payments on external debt, total (INT, current US$)",interest_payment,296142636782.6,296.1426367826
DT.AMT.DPPG.CD,"Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current US$)",principal_repayment,292777173694.1,292.7771736941
DT.AMT.DEPS.CD,"Principal repayments on external debt, public sector (PPG) (AMT, current US$)",principal_repayment,292395763712.5,292.3957637125
DT.TDS.DEGG.CD,"Debt service on external debt, general government sector (PPG) (TDS, current US$)",debt_service,261824552929.4,261.8245529294
DT.COM.PRVT.CD,"Commitments, private creditors (COM, current US$)",commitment,250198224861.4,250.1982248614
DT.DIS.DEGG.CD,"Disbursements on external debt, general government sector (PPG) (DIS, current US$)",disbursement,227757700007.8,227.7577000078
DT.DOD.PCBK.OPS.CD,"OPS, commercial banks (DOD, current US$)",other_debt_monetary,226361053810.1,226.3610538101
DT.TDS.PBND.CD,"PPG, bonds (TDS, current US$)",other_debt_monetary,218990915946.9,218.9909159469
DT.TDS.PBND.PS.CD,"PS, bonds (TDS, current US$)",other_debt_monetary,218518453453.9,218.51845345389998
