indicator_code,indicator_name,measure_type,topic,source,short_definition
DT.AMT.PBND.CB.CD,"CB, bonds (AMT, current US$)",other_debt_monetary,Economic Policy & Debt: External debt: Amortization,"World Bank, International Debt Statistics.","Central bank debt in form of bonds. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Principal repayments are actual amounts of principal (amortization) paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars."
DT.DIS.PBND.CB.CD,"CB, bonds (DIS, current US$)",other_debt_monetary,Economic Policy & Debt: External debt: Disbursements,"World Bank, International Debt Statistics.","Central bank debt in form of bonds. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars."
DT.DOD.PBND.CB.CD,"CB, bonds (DOD, current US$)",other_debt_monetary,Economic Policy & Debt: External debt: Debt outstanding,"World Bank, International Debt Statistics.","Central bank debt in form of bonds. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Data are in current U.S. dollars."
DT.INT.PBND.CB.CD,"CB, bonds (INT, current US$)",other_debt_monetary,Economic Policy & Debt: External debt: Interest,"World Bank, International Debt Statistics.","Central bank debt in form of bonds. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Interest payments are actual amounts of interest paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars."
DT.NFL.PBND.CB.CD,"CB, bonds (NFL, current US$)",other_debt_monetary,Economic Policy & Debt: External debt: Net flows,"World Bank, International Debt Statistics.","Central bank debt in form of bonds. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Data are in current U.S. dollars."
DT.NTR.PBND.CB.CD,"CB, bonds (NTR, current US$)",other_debt_monetary,Economic Policy & Debt: External debt: Net transfers,"World Bank, International Debt Statistics.","Central bank debt in form of bonds.The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Net transfers on external debt are net flows minus interest payments during the year; negative transfers show net transfers made by the borrower to the creditor during the year. Data are in current U.S. dollars."
DT.TDS.PBND.CB.CD,"CB, bonds (TDS, current US$)",other_debt_monetary,Economic Policy & Debt: External debt: Debt service,"World Bank, International Debt Statistics.","Central bank debt in form of bonds. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Debt service payments are the sum of principal repayments and interest payments actually made in the year specified. Data are in current U.S. dollars."
DT.AMT.PCBK.CB.CD,"CB, commercial banks (AMT, current US$)",other_debt_monetary,Economic Policy & Debt: External debt: Amortization,"World Bank, International Debt Statistics.","Central bank bilateral debt includes Central bank debt with commercial banks. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Principal repayments are actual amounts of principal (amortization) paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars."
DT.DIS.PCBK.CB.CD,"CB, commercial banks (DIS, current US$)",other_debt_monetary,Economic Policy & Debt: External debt: Disbursements,"World Bank, International Debt Statistics.","Central bank bilateral debt includes Central bank debt with commercial banks. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars."
DT.DOD.PCBK.CB.CD,"CB, commercial banks (DOD, current US$)",other_debt_monetary,Economic Policy & Debt: External debt: Debt outstanding,"World Bank, International Debt Statistics.","Central bank bilateral debt includes Central bank debt with commercial banks. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves.Data are in current U.S. dollars."
DT.INT.PCBK.CB.CD,"CB, commercial banks (INT, current US$)",other_debt_monetary,Economic Policy & Debt: External debt: Interest,"World Bank, International Debt Statistics.","Central bank bilateral debt includes Central bank debt with commercial banks. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves.  Interest payments are actual amounts of interest paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars."
DT.NFL.PCBK.CB.CD,"CB, commercial banks (NFL, current US$)",other_debt_monetary,Economic Policy & Debt: External debt: Net flows,"World Bank, International Debt Statistics.","Central bank bilateral debt includes Central bank debt with commercial banks. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Data are in current U.S. dollars."
DT.NTR.PCBK.CB.CD,"CB, commercial banks (NTR, current US$)",other_debt_monetary,Economic Policy & Debt: External debt: Net transfers,"World Bank, International Debt Statistics.","Central bank bilateral debt includes Central bank debt with commercial banks. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Net transfers on external debt are net flows minus interest payments during the year; negative transfers show net transfers made by the borrower to the creditor during the year. Data are in current U.S. dollars."
DT.TDS.PCBK.CB.CD,"CB, commercial banks (TDS, current US$)",other_debt_monetary,Economic Policy & Debt: External debt: Debt service,"World Bank, International Debt Statistics.","Central bank bilateral debt includes Central bank debt with commercial banks. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Debt service payments are the sum of principal repayments and interest payments actually made in the year specified. Data are in current U.S. dollars."
DT.AMT.OFFT.CB.CD,"CB, official creditors (AMT, current US$)",other_debt_monetary,Economic Policy & Debt: External debt: Amortization,"World Bank, International Debt Statistics.","Central bank debt from official creditors includes loans from international organizations (multilateral loans) and loans from governments (bilateral loans). Loans from international organization include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments.  The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Principal repayments are actual amounts of principal (amortization) paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars."
DT.DIS.OFFT.CB.CD,"CB, official creditors (DIS, current US$)",other_debt_monetary,Economic Policy & Debt: External debt: Disbursements,"World Bank, International Debt Statistics.","Central bank debt from official creditors includes loans from international organizations (multilateral loans) and loans from governments (bilateral loans). Loans from international organization include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Disbursements are drawings by the borrower on loan commitments during the year specified. Data are in current U.S. dollars."
DT.DOD.OFFT.CB.CD,"CB, official creditors (DOD, current US$)",other_debt_monetary,Economic Policy & Debt: External debt: Debt outstanding,"World Bank, International Debt Statistics.","Central bank debt from official creditors includes loans from international organizations (multilateral loans) and loans from governments (bilateral loans). Loans from international organization include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments.The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Data are in current U.S. dollars."
DT.INT.OFFT.CB.CD,"CB, official creditors (INT, current US$)",other_debt_monetary,Economic Policy & Debt: External debt: Interest,"World Bank, International Debt Statistics.","Central bank debt from official creditors includes loans from international organizations (multilateral loans) and loans from governments (bilateral loans). Loans from international organization include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Interest payments are actual amounts of interest paid by the borrower in currency, goods, or services in the year specified. Data are in current U.S. dollars."
DT.NFL.OFFT.CB.CD,"CB, official creditors (NFL, current US$)",other_debt_monetary,Economic Policy & Debt: External debt: Net flows,"World Bank, International Debt Statistics.","Central bank debt from official creditors includes loans from international organizations (multilateral loans) and loans from governments (bilateral loans). Loans from international organization include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Net flows (or net lending or net disbursements) received by the borrower during the year are disbursements minus principal repayments. Data are in current U.S. dollars."
DT.NTR.OFFT.CB.CD,"CB, official creditors (NTR, current US$)",other_debt_monetary,Economic Policy & Debt: External debt: Net transfers,"World Bank, International Debt Statistics.","Central bank debt from official creditors includes loans from international organizations (multilateral loans) and loans from governments (bilateral loans). Loans from international organization include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments.The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Net transfers on external debt are net flows minus interest payments during the year; negative transfers show net transfers made by the borrower to the creditor during the year. Data are in current U.S. dollars."
DT.TDS.OFFT.CB.CD,"CB, official creditors (TDS, current US$)",other_debt_monetary,Economic Policy & Debt: External debt: Debt service,"World Bank, International Debt Statistics.","Central bank debt from official creditors includes loans from international organizations (multilateral loans) and loans from governments (bilateral loans). Loans from international organization include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Debt service payments are the sum of principal repayments and interest payments actually made in the year specified. Data are in current U.S. dollars."
